1929,1.41,0.71,2.12
1930,1.31,0.66,1.97
1931,0.77,0.77,1.53
1932,0.60,0.80,1.40
1933,0.85,0.85,1.71
1934,0.93,0.74,1.68
1935,1.00,0.83,1.82
1936,1.02,0.87,1.90
1937,1.75,0.81,2.56
1938,1.75,0.88,2.63
1939,1.23,0.82,2.06
1940,1.28,0.89,2.17
1941,1.67,0.73,2.40
1942,3.40,0.57,3.97
1943,10.52,0.53,11.05
1944,10.18,0.48,10.66
1945,10.84,0.47,11.31
1946,9.18,0.50,9.69
1947,9.85,0.52,10.37
1948,8.63,0.52,9.16
1949,7.44,0.68,8.12
1950,7.60,0.66,8.26
1951,9.85,0.66,10.51
1952,10.97,0.65,11.63
1953,10.73,0.65,11.38
1954,9.55,0.71,10.26
1955,9.65,0.76,10.41
1956,9.99,0.80,10.78
1957,10.04,0.81,10.85
1958,9.62,0.84,10.46
1959,9.81,0.97,10.78
1960,10.16,1.02,11.18
1961,9.96,1.07,11.03
1962,10.19,1.10,11.28
1963,10.24,1.13,11.37
1964,8.94,1.19,10.13
1965,9.20,1.19,10.39
1966,9.71,1.29,11.00
1967,9.94,1.33,11.26
1968,10.73,1.49,12.22
1969,11.78,1.64,13.43
1970,10.60,1.69,12.29
1971,9.50,1.76,11.26
1972,10.36,2.11,12.46
1973,9.87,2.05,11.92
1974,10.35,2.00,12.35
1975,9.04,2.02,11.06
1976,9.57,2.11,11.68
1977,9.94,2.17,12.10
1978,10.28,2.21,12.49
1979,10.91,2.14,13.04
1980,10.86,2.12,12.99
1981,11.25,2.11,13.37
1982,10.66,2.14,12.80
1983,9.69,2.24,11.93
1984,9.22,2.32,11.55
1985,9.61,2.33,11.94
1986,9.47,2.36,11.83
1987,10.00,2.46,12.46
1988,9.52,2.41,11.93
1989,9.91,2.51,12.42
1990,9.70,2.53,12.23
1991,9.17,2.49,11.66
1992,8.89,2.53,11.42
1993,9.08,2.53,11.61
1994,9.23,2.52,11.75
1995,9.45,2.55,12.00
1996,10.06,2.56,12.62
1997,10.63,2.60,13.23
1998,10.97,2.67,13.64
1999,11.29,2.71,14.00
2000,11.63,2.77,14.40
2001,11.16,2.74,13.90
2002,9.15,2.45,11.59
2003,8.26,2.41,10.67
2004,8.04,2.50,10.54
2005,8.89,2.64,11.53
2006,9.32,2.68,12.00
2007,9.78,2.71,12.50
2008,8.90,2.71,11.61
2009,7.00,2.36,9.36
